 absolute angle of inclination | angle of inclination | number of electrodes | voltage magnitude | voltage frequency | electrode dimension | x pitch | number of phases | grain mass density |  mesh size | gravity | phase shift | maximum classified radius | distance between dust generation and first electrode | yield 
     THETA        theta       n      phi         f     dimension     xpitch   phases mass density       h             g      phase shift    max radius dust distance       yield
    345.00000     15.00000    10   1950.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.884569793940E-03 4.159461021423E+00
    345.00000     15.00000    10   1950.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 9.384568780661E-03 4.780239582062E+00
    345.00000     15.00000    10   1950.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.884567767382E-03 6.420620918274E+00
    345.00000     15.00000    10   1950.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 8.355714380741E-03 1.271882057190E+01
    345.00000     15.00000    10   1950.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.182685792446E-02 5.205070495605E+00
    330.00000     30.00000    10   1000.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 7.139420509338E+00
    330.00000     30.00000    10   1000.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.153846830130E-02 5.135207772255E-01
    330.00000     30.00000    10   1000.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.103846728802E-02 7.403265833855E-01
    330.00000     30.00000    10   1000.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.354809105396E-02 1.166545271873E+00
    330.00000     30.00000    10   1000.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.505771279335E-02 5.459542274475E-01
    330.00000     30.00000    10    950.00000    10      2.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.203846931458E-02 4.924087822437E-01
    330.00000     30.00000    10    950.00000    10      3.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.153846830130E-02 4.259243905544E-01
    330.00000     30.00000    10    950.00000    10      4.00000     20.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.103846728802E-02 5.893736481667E-01
    330.00000     30.00000    10    950.00000    10      3.00000     25.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.354809105396E-02 9.555613994598E-01
    330.00000     30.00000    10    950.00000    10      4.00000     30.00000     4   2650.00000      0.00100      9.81000     90.00000      0.00001 1.505771279335E-02 4.448830187321E-01
