,absolute angle of inclination,angle of inclination,number of electrodes,voltage magnitude,voltage frequency,electrode dimension,x pitch,number of phases,grain mass density,mesh size,gravity,phase shift,time step,maximum classified radius,distance between dust generation and first electrode,grain number density,yield
360,335.0,25.0,8.0,1000.0,15.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.01535846293,1.0,7.631223201752
361,335.0,25.0,8.0,500.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.575482845306
362,335.0,25.0,4.0,2000.0,15.0,6.0,40.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.01902154088,1.0,7.356429576874
363,335.0,25.0,6.0,500.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.567248344421
364,310.0,50.0,8.0,1500.0,15.0,5.0,35.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.031510174274,1.0,7.286455154419
365,335.0,25.0,6.0,2000.0,10.0,6.0,40.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,7.274453639984
366,335.0,25.0,8.0,1000.0,10.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.506029129028
367,335.0,25.0,6.0,2000.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,7.257203102112
368,310.0,50.0,4.0,500.0,5.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.761632919312
369,310.0,50.0,10.0,1000.0,10.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.733859062195
370,335.0,25.0,8.0,1000.0,20.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.547372341156
371,335.0,25.0,6.0,2000.0,20.0,6.0,40.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,7.356435775757
372,310.0,50.0,4.0,500.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.74459695816
373,310.0,50.0,8.0,1500.0,20.0,5.0,35.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.031510174274,1.0,7.366502285004
374,50.0,50.0,10.0,1500.0,10.0,5.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.214515641332,1.0,7.292642593384
375,310.0,50.0,10.0,1000.0,15.0,4.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.730488777161
376,310.0,50.0,10.0,1000.0,5.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.768925666809
377,335.0,25.0,8.0,1000.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.592126369476
378,335.0,25.0,8.0,1000.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.475090026855
379,335.0,25.0,8.0,1000.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.01535846293,1.0,7.624708652496
380,310.0,50.0,10.0,1000.0,20.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,7.601388931274
381,335.0,25.0,8.0,500.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.014358460903,1.0,7.501651763916
382,50.0,50.0,4.0,1500.0,5.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,7.386472225189
383,50.0,50.0,4.0,2000.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,7.756220817566
384,310.0,50.0,10.0,1000.0,5.0,4.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.795749187469
385,335.0,25.0,10.0,1000.0,5.0,3.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.016532301903,1.0,7.256904125214
386,335.0,25.0,6.0,2000.0,10.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,7.247870445251
387,335.0,25.0,6.0,1000.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.772566795349
388,335.0,25.0,8.0,1500.0,15.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.020377323031,1.0,7.614648342133
389,310.0,50.0,8.0,1500.0,5.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.031510174274,1.0,7.260898113251
390,310.0,50.0,10.0,1000.0,10.0,4.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.80580997467
391,335.0,25.0,6.0,1000.0,10.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.897840976715
392,335.0,25.0,6.0,1000.0,15.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.893335819244
393,335.0,25.0,10.0,1000.0,20.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,8.057586669922
394,335.0,25.0,6.0,500.0,5.0,6.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,8.043526649475
395,310.0,50.0,4.0,1000.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.862861633301
396,335.0,25.0,10.0,1000.0,15.0,4.0,30.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,7.908994197845
397,335.0,25.0,10.0,1500.0,20.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.019056558609,1.0,8.16664981842
398,310.0,50.0,10.0,1000.0,15.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,7.815489292145
399,335.0,25.0,6.0,1000.0,20.0,6.0,20.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.85356092453
400,50.0,50.0,4.0,2000.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.361090660095
401,310.0,50.0,4.0,500.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.831387519836
402,335.0,25.0,10.0,1500.0,5.0,5.0,35.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.019056558609,1.0,8.046916007996
403,335.0,25.0,6.0,1000.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.898948192596
404,310.0,50.0,4.0,1000.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.862464904785
405,335.0,25.0,10.0,1000.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,7.93347120285
406,310.0,50.0,4.0,500.0,20.0,6.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.81781244278
407,335.0,25.0,6.0,500.0,20.0,6.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.910435199738
408,335.0,25.0,6.0,1500.0,20.0,6.0,40.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,8.282730102539
409,335.0,25.0,6.0,500.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.940240383148
410,310.0,50.0,10.0,1000.0,15.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020742192864,1.0,7.839389801025
411,335.0,25.0,4.0,500.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,7.903332710266
412,310.0,50.0,4.0,500.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.021247386932,1.0,7.896531105042
413,335.0,25.0,6.0,1500.0,5.0,6.0,40.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,8.079566001892
414,335.0,25.0,6.0,500.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.884376525879
415,335.0,25.0,6.0,500.0,5.0,6.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.883981704712
416,50.0,50.0,4.0,2000.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.335499763489
417,335.0,25.0,10.0,1000.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,8.003193855286
418,335.0,25.0,6.0,500.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.983674526215
419,335.0,25.0,6.0,500.0,20.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013684615493,1.0,7.902569293976
420,50.0,50.0,4.0,1500.0,5.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.859816551208
421,25.0,25.0,4.0,1500.0,10.0,6.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,8.499336242676
422,310.0,50.0,10.0,1000.0,15.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020242184401,1.0,8.643622398376
423,310.0,50.0,8.0,1000.0,10.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.024077236652,1.0,8.937982559204
424,50.0,50.0,4.0,1500.0,20.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.955730438232
425,310.0,50.0,8.0,1000.0,5.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.024077236652,1.0,8.99107170105
426,335.0,25.0,8.0,1000.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.019037686288,1.0,8.780650138855
427,335.0,25.0,6.0,1000.0,15.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014684617519,1.0,8.866848945618
428,25.0,25.0,4.0,1500.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,8.516121864319
429,50.0,50.0,4.0,1500.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.86797618866
430,310.0,50.0,8.0,1000.0,20.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.024077236652,1.0,8.845966339111
431,310.0,50.0,10.0,1000.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020242184401,1.0,8.520711898804
432,335.0,25.0,10.0,1500.0,5.0,5.0,20.0,4.0,3000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.015532299876,1.0,8.744327545166
433,310.0,50.0,8.0,1000.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,8.968233108521
434,50.0,50.0,4.0,1500.0,10.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.912595748901
435,25.0,25.0,4.0,1500.0,5.0,6.0,20.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027978461236,1.0,8.639973640442
436,310.0,50.0,8.0,1000.0,15.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.024077236652,1.0,8.978089332581
437,50.0,50.0,4.0,1500.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.800976753235
438,335.0,25.0,6.0,1500.0,20.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.016698077321,1.0,8.767275810242
439,335.0,25.0,4.0,1500.0,5.0,4.0,30.0,4.0,1000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.0,1.0,8.94323878802103
440,50.0,50.0,4.0,2000.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.490571022034
441,335.0,25.0,8.0,1000.0,5.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.019037686288,1.0,8.685885429382
442,50.0,50.0,4.0,1500.0,20.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.997832298279
443,335.0,25.0,6.0,1000.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014684617519,1.0,8.884702682495
444,50.0,50.0,4.0,1500.0,10.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,8.801694869995
445,335.0,25.0,6.0,1500.0,15.0,5.0,35.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.016698077321,1.0,8.672595024109
446,310.0,50.0,8.0,1000.0,15.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.024077236652,1.0,8.836380004883
447,310.0,50.0,10.0,1000.0,5.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.020242184401,1.0,8.457440376282
448,335.0,25.0,6.0,1500.0,5.0,5.0,35.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.016698077321,1.0,8.550267219543
449,335.0,25.0,10.0,2000.0,20.0,6.0,40.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.018064603209,1.0,8.405710220337
450,50.0,50.0,4.0,1500.0,10.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.030993461609
451,335.0,25.0,6.0,1000.0,15.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014184616506,1.0,9.275597572327
452,335.0,25.0,6.0,1000.0,10.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014184616506,1.0,9.089008331299
453,50.0,50.0,4.0,2000.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.155110359192
454,50.0,50.0,4.0,2000.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.207731246948
455,335.0,25.0,6.0,1000.0,20.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,9.095888137817
456,50.0,50.0,4.0,1500.0,5.0,3.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.299081802368
457,50.0,50.0,6.0,2000.0,20.0,4.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,9.327519416809
458,335.0,25.0,4.0,1000.0,10.0,5.0,35.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018018845469,1.0,9.516969680786
459,335.0,25.0,6.0,1000.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,9.01599407196
460,50.0,50.0,4.0,2000.0,10.0,4.0,30.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,9.581613540649
461,50.0,50.0,4.0,2000.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,9.576183319092
462,310.0,50.0,8.0,1000.0,15.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,9.025646209717
463,50.0,50.0,6.0,2000.0,20.0,4.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175359607,1.0,9.360025405884
464,335.0,25.0,6.0,1500.0,5.0,6.0,40.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,9.409067153931
465,335.0,25.0,6.0,1500.0,20.0,6.0,40.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,9.478859901428
466,335.0,25.0,6.0,1000.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,9.122320175171
467,50.0,50.0,4.0,2000.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.029511451721
468,335.0,25.0,6.0,1500.0,15.0,6.0,40.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.02036922425,1.0,9.477189064026
469,335.0,25.0,6.0,1000.0,5.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014184616506,1.0,9.311519622803
470,335.0,25.0,6.0,1000.0,15.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,9.132493972778
471,310.0,50.0,8.0,1000.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,9.072606086731
472,50.0,50.0,6.0,2000.0,5.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,9.540922164917
473,335.0,25.0,6.0,1000.0,10.0,4.0,30.0,4.0,1000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018026925623,1.0,9.14174747467
474,50.0,50.0,4.0,2000.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.069766998291
475,335.0,25.0,4.0,1000.0,20.0,5.0,35.0,4.0,4000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.018018845469,1.0,9.478963851929
476,50.0,50.0,4.0,2000.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,9.577728271484
477,50.0,50.0,4.0,2000.0,10.0,5.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.58521270752
478,310.0,50.0,8.0,1000.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.027865886688,1.0,9.103929519653
479,50.0,50.0,4.0,2000.0,5.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.153312683105
480,50.0,50.0,4.0,2000.0,15.0,4.0,30.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,9.669486045837
481,335.0,25.0,10.0,1500.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,9.879322052002
482,335.0,25.0,10.0,1500.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,9.864515304565
483,310.0,50.0,6.0,1000.0,20.0,4.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.023412317038,1.0,9.841723442078
484,335.0,25.0,8.0,1000.0,20.0,3.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.015858463943,1.0,10.002515792847
485,335.0,25.0,4.0,1000.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.192543983459
486,335.0,25.0,4.0,1000.0,5.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.068568229675
487,50.0,50.0,4.0,2000.0,10.0,5.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.602321624756
488,335.0,25.0,4.0,1000.0,5.0,6.0,40.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.01902154088,1.0,10.03807258606
489,50.0,50.0,4.0,2000.0,15.0,5.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.77440071106
490,335.0,25.0,10.0,1500.0,15.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,10.013408660889
491,335.0,25.0,8.0,1000.0,5.0,5.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014858461916,1.0,9.672177314758
492,310.0,50.0,10.0,1000.0,15.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.019742190838,1.0,10.115521430969
493,50.0,50.0,6.0,2000.0,5.0,5.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,9.905516624451
494,310.0,50.0,10.0,1000.0,20.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.019742190838,1.0,10.188543319702
495,335.0,25.0,8.0,2000.0,5.0,6.0,40.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.016716912389,1.0,9.735498428345
496,335.0,25.0,8.0,1000.0,20.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014858461916,1.0,9.804704666138
497,310.0,50.0,10.0,1500.0,10.0,4.0,30.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,9.745146751404
498,310.0,50.0,10.0,1500.0,5.0,4.0,30.0,4.0,3000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,9.71678352356
499,50.0,50.0,6.0,2000.0,15.0,5.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,9.862233161926
500,335.0,25.0,4.0,500.0,10.0,6.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.190722465515
501,335.0,25.0,10.0,1500.0,10.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.015048474073,1.0,9.84977722168
502,335.0,25.0,8.0,1000.0,5.0,5.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.014858461916,1.0,9.772396087646
503,310.0,50.0,10.0,1500.0,20.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.027113258839,1.0,9.909203529358
504,50.0,50.0,6.0,2000.0,20.0,5.0,20.0,4.0,2000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,9.810245513916
505,335.0,25.0,4.0,500.0,20.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.140122413635
506,335.0,25.0,10.0,500.0,10.0,5.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.015532299876,1.0,10.185218811035
507,50.0,50.0,6.0,2000.0,5.0,5.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.119175352156,1.0,9.78338432312
508,50.0,50.0,4.0,2000.0,5.0,4.0,30.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.107257828116,1.0,9.706384658813
509,50.0,50.0,4.0,2000.0,15.0,5.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,9.826303482056
510,335.0,25.0,10.0,1000.0,20.0,6.0,20.0,4.0,2000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.015032298863,1.0,10.200091362
511,25.0,25.0,4.0,2000.0,10.0,3.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.027978463098,1.0,10.380965232849
512,335.0,25.0,4.0,500.0,15.0,6.0,20.0,4.0,1000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.212128639221
513,335.0,25.0,4.0,1000.0,15.0,6.0,20.0,4.0,2000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.333750724792
514,310.0,50.0,8.0,1000.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.023577228189,1.0,10.502864837646
515,335.0,25.0,8.0,1500.0,5.0,4.0,30.0,4.0,4000.0,0.001000000047,12.0,90.0,0.004999999888,1e-05,0.019037686288,1.0,10.78777885437
516,335.0,25.0,4.0,500.0,15.0,6.0,20.0,4.0,3000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.213856697083
517,50.0,50.0,4.0,2000.0,15.0,5.0,20.0,4.0,3000.0,0.001000000047,6.0,90.0,0.004999999888,1e-05,0.071505218744,1.0,10.595815658569
518,335.0,25.0,10.0,1000.0,10.0,6.0,20.0,4.0,4000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.015032298863,1.0,10.284696578979
519,310.0,50.0,6.0,1000.0,15.0,5.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.022912323475,1.0,10.791395187378
520,310.0,50.0,10.0,1000.0,10.0,6.0,20.0,4.0,1000.0,0.001000000047,9.0,90.0,0.004999999888,1e-05,0.019742190838,1.0,10.288486480713
521,335.0,25.0,4.0,500.0,15.0,6.0,20.0,4.0,4000.0,0.001000000047,3.0,90.0,0.004999999888,1e-05,0.013010770082,1.0,10.247262954712
522,50.0,50.0,4.0,2000.0,15.0,3.0,40.0,4.0,1000.0,0.002000000095,3.0,90.0,0.004999999888,1e-05,0.286020874977,1.0,10.632019996643
